antecedent,consequent,support,confidence
"('Dry Fit V-Nick', 'Socks', 'Tech Pants')","('Rash Guard', 'Sweatshirts')",0.25,1.0
"('Dry Fit V-Nick', 'Socks', 'Tech Pants')","('Modern Pants', 'Rash Guard', 'Sweatshirts')",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts')","('Modern Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts')","('Socks',)",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts')","('Modern Pants', 'Rash Guard')",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts')","('Modern Pants', 'Socks')",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts')","('Modern Pants', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts')","('Rash Guard', 'Socks')",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts')","('Rash Guard', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts')","('Socks', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts')","('Modern Pants', 'Rash Guard', 'Socks')",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts')","('Modern Pants', 'Rash Guard', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts')","('Modern Pants', 'Socks', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts')","('Rash Guard', 'Socks', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts')","('Modern Pants', 'Rash Guard', 'Socks', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts', 'Tech Pants')","('Modern Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts', 'Tech Pants')","('Socks',)",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts', 'Tech Pants')","('Modern Pants', 'Rash Guard')",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts', 'Tech Pants')","('Modern Pants', 'Socks')",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts', 'Tech Pants')","('Rash Guard', 'Socks')",0.25,1.0
"('Dry Fit V-Nick', 'Sweatshirts', 'Tech Pants')","('Modern Pants', 'Rash Guard', 'Socks')",0.25,1.0
"('Hoodies', 'Modern Pants')","('Rash Guard',)",0.25,1.0
"('Hoodies', 'Modern Pants')","('Socks',)",0.25,1.0
"('Hoodies', 'Modern Pants')","('Sweatshirts',)",0.25,1.0
"('Hoodies', 'Modern Pants')","('Tech Pants',)",0.25,1.0
"('Hoodies', 'Modern Pants')","('Rash Guard', 'Socks')",0.25,1.0
"('Hoodies', 'Modern Pants')","('Rash Guard', 'Sweatshirts')",0.25,1.0
"('Hoodies', 'Modern Pants')","('Rash Guard', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Modern Pants')","('Socks', 'Sweatshirts')",0.25,1.0
"('Hoodies', 'Modern Pants')","('Socks', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Modern Pants')","('Sweatshirts', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Modern Pants')","('Rash Guard', 'Socks', 'Sweatshirts')",0.25,1.0
"('Hoodies', 'Modern Pants')","('Rash Guard', 'Socks', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Modern Pants')","('Rash Guard', 'Sweatshirts', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Modern Pants')","('Socks', 'Sweatshirts', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Modern Pants')","('Rash Guard', 'Socks', 'Sweatshirts', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Rash Guard')","('Socks',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Rash Guard')","('Sweatshirts',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Rash Guard')","('Tech Pants',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Rash Guard')","('Socks', 'Sweatshirts')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Rash Guard')","('Socks', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Rash Guard')","('Sweatshirts', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Rash Guard')","('Socks', 'Sweatshirts', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Rash Guard', 'Socks')","('Sweatshirts',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Rash Guard', 'Socks')","('Tech Pants',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Rash Guard', 'Socks')","('Sweatshirts', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Rash Guard', 'Socks', 'Sweatshirts')","('Tech Pants',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Rash Guard', 'Socks', 'Tech Pants')","('Sweatshirts',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Rash Guard', 'Sweatshirts')","('Socks',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Rash Guard', 'Sweatshirts')","('Tech Pants',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Rash Guard', 'Sweatshirts')","('Socks', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Rash Guard', 'Sweatshirts', 'Tech Pants')","('Socks',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Rash Guard', 'Tech Pants')","('Socks',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Rash Guard', 'Tech Pants')","('Sweatshirts',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Rash Guard', 'Tech Pants')","('Socks', 'Sweatshirts')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Socks')","('Rash Guard',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Socks')","('Sweatshirts',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Socks')","('Tech Pants',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Socks')","('Rash Guard', 'Sweatshirts')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Socks')","('Rash Guard', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Socks')","('Sweatshirts', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Socks')","('Rash Guard', 'Sweatshirts', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Socks', 'Sweatshirts')","('Rash Guard',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Socks', 'Sweatshirts')","('Tech Pants',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Socks', 'Sweatshirts')","('Rash Guard', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Socks', 'Sweatshirts', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Socks', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Socks', 'Tech Pants')","('Sweatshirts',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Socks', 'Tech Pants')","('Rash Guard', 'Sweatshirts')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Sweatshirts')","('Rash Guard',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Sweatshirts')","('Socks',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Sweatshirts')","('Tech Pants',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Sweatshirts')","('Rash Guard', 'Socks')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Sweatshirts')","('Rash Guard', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Sweatshirts')","('Socks', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Sweatshirts')","('Rash Guard', 'Socks', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Sweatshirts', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Sweatshirts', 'Tech Pants')","('Socks',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Sweatshirts', 'Tech Pants')","('Rash Guard', 'Socks')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Tech Pants')","('Socks',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Tech Pants')","('Sweatshirts',)",0.25,1.0
"('Hoodies', 'Modern Pants', 'Tech Pants')","('Rash Guard', 'Socks')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Tech Pants')","('Rash Guard', 'Sweatshirts')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Tech Pants')","('Socks', 'Sweatshirts')",0.25,1.0
"('Hoodies', 'Modern Pants', 'Tech Pants')","('Rash Guard', 'Socks', 'Sweatshirts')",0.25,1.0
"('Hoodies', 'Rash Guard', 'Running Shoe')","('Tech Pants',)",0.25,1.0
"('Hoodies', 'Rash Guard', 'Soccer Shoe')","('Dry Fit V-Nick',)",0.25,1.0
"('Hoodies', 'Rash Guard', 'Soccer Shoe')","('Tech Pants',)",0.25,1.0
"('Hoodies', 'Rash Guard', 'Soccer Shoe')","('Dry Fit V-Nick', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Rash Guard', 'Soccer Shoe', 'Tech Pants')","('Dry Fit V-Nick',)",0.25,1.0
"('Hoodies', 'Rash Guard', 'Socks')","('Modern Pants',)",0.25,1.0
"('Hoodies', 'Rash Guard', 'Socks')","('Sweatshirts',)",0.25,1.0
"('Hoodies', 'Rash Guard', 'Socks')","('Tech Pants',)",0.25,1.0
"('Hoodies', 'Rash Guard', 'Socks')","('Modern Pants', 'Sweatshirts')",0.25,1.0
"('Hoodies', 'Rash Guard', 'Socks')","('Modern Pants', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Rash Guard', 'Socks')","('Sweatshirts', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Rash Guard', 'Socks')","('Modern Pants', 'Sweatshirts', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Rash Guard', 'Socks', 'Sweatshirts')","('Modern Pants',)",0.25,1.0
"('Hoodies', 'Rash Guard', 'Socks', 'Sweatshirts')","('Tech Pants',)",0.25,1.0
"('Hoodies', 'Rash Guard', 'Socks', 'Sweatshirts')","('Modern Pants', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Rash Guard', 'Socks', 'Sweatshirts', 'Tech Pants')","('Modern Pants',)",0.25,1.0
"('Hoodies', 'Rash Guard', 'Socks', 'Tech Pants')","('Modern Pants',)",0.25,1.0
"('Hoodies', 'Rash Guard', 'Socks', 'Tech Pants')","('Sweatshirts',)",0.25,1.0
"('Hoodies', 'Rash Guard', 'Socks', 'Tech Pants')","('Modern Pants', 'Sweatshirts')",0.25,1.0
"('Hoodies', 'Rash Guard', 'Sweatshirts')","('Modern Pants',)",0.25,1.0
"('Hoodies', 'Rash Guard', 'Sweatshirts')","('Socks',)",0.25,1.0
"('Hoodies', 'Rash Guard', 'Sweatshirts')","('Tech Pants',)",0.25,1.0
"('Hoodies', 'Rash Guard', 'Sweatshirts')","('Modern Pants', 'Socks')",0.25,1.0
"('Hoodies', 'Rash Guard', 'Sweatshirts')","('Modern Pants', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Rash Guard', 'Sweatshirts')","('Socks', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Rash Guard', 'Sweatshirts')","('Modern Pants', 'Socks', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Rash Guard', 'Sweatshirts', 'Tech Pants')","('Modern Pants',)",0.25,1.0
"('Hoodies', 'Rash Guard', 'Sweatshirts', 'Tech Pants')","('Socks',)",0.25,1.0
"('Hoodies', 'Rash Guard', 'Sweatshirts', 'Tech Pants')","('Modern Pants', 'Socks')",0.25,1.0
"('Hoodies', 'Running Shoe')","('Rash Guard',)",0.25,1.0
"('Hoodies', 'Running Shoe')","('Tech Pants',)",0.25,1.0
"('Hoodies', 'Running Shoe')","('Rash Guard', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Running Shoe', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Hoodies', 'Soccer Shoe')","('Dry Fit V-Nick',)",0.25,1.0
"('Hoodies', 'Soccer Shoe')","('Rash Guard',)",0.25,1.0
"('Hoodies', 'Soccer Shoe')","('Tech Pants',)",0.25,1.0
"('Hoodies', 'Soccer Shoe')","('Dry Fit V-Nick', 'Rash Guard')",0.25,1.0
"('Hoodies', 'Soccer Shoe')","('Dry Fit V-Nick', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Soccer Shoe')","('Rash Guard', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Soccer Shoe')","('Dry Fit V-Nick', 'Rash Guard', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Soccer Shoe', 'Tech Pants')","('Dry Fit V-Nick',)",0.25,1.0
"('Hoodies', 'Soccer Shoe', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Hoodies', 'Soccer Shoe', 'Tech Pants')","('Dry Fit V-Nick', 'Rash Guard')",0.25,1.0
"('Hoodies', 'Socks')","('Modern Pants',)",0.25,1.0
"('Hoodies', 'Socks')","('Rash Guard',)",0.25,1.0
"('Hoodies', 'Socks')","('Sweatshirts',)",0.25,1.0
"('Hoodies', 'Socks')","('Tech Pants',)",0.25,1.0
"('Hoodies', 'Socks')","('Modern Pants', 'Rash Guard')",0.25,1.0
"('Hoodies', 'Socks')","('Modern Pants', 'Sweatshirts')",0.25,1.0
"('Hoodies', 'Socks')","('Modern Pants', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Socks')","('Rash Guard', 'Sweatshirts')",0.25,1.0
"('Hoodies', 'Socks')","('Rash Guard', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Socks')","('Sweatshirts', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Socks')","('Modern Pants', 'Rash Guard', 'Sweatshirts')",0.25,1.0
"('Hoodies', 'Socks')","('Modern Pants', 'Rash Guard', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Socks')","('Modern Pants', 'Sweatshirts', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Socks')","('Rash Guard', 'Sweatshirts', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Socks')","('Modern Pants', 'Rash Guard', 'Sweatshirts', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Socks', 'Sweatshirts')","('Modern Pants',)",0.25,1.0
"('Hoodies', 'Socks', 'Sweatshirts')","('Rash Guard',)",0.25,1.0
"('Hoodies', 'Socks', 'Sweatshirts')","('Tech Pants',)",0.25,1.0
"('Hoodies', 'Socks', 'Sweatshirts')","('Modern Pants', 'Rash Guard')",0.25,1.0
"('Hoodies', 'Socks', 'Sweatshirts')","('Modern Pants', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Socks', 'Sweatshirts')","('Rash Guard', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Socks', 'Sweatshirts')","('Modern Pants', 'Rash Guard', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Socks', 'Sweatshirts', 'Tech Pants')","('Modern Pants',)",0.25,1.0
"('Hoodies', 'Socks', 'Sweatshirts', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Hoodies', 'Socks', 'Sweatshirts', 'Tech Pants')","('Modern Pants', 'Rash Guard')",0.25,1.0
"('Hoodies', 'Socks', 'Tech Pants')","('Modern Pants',)",0.25,1.0
"('Hoodies', 'Socks', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Hoodies', 'Socks', 'Tech Pants')","('Sweatshirts',)",0.25,1.0
"('Hoodies', 'Socks', 'Tech Pants')","('Modern Pants', 'Rash Guard')",0.25,1.0
"('Hoodies', 'Socks', 'Tech Pants')","('Modern Pants', 'Sweatshirts')",0.25,1.0
"('Hoodies', 'Socks', 'Tech Pants')","('Rash Guard', 'Sweatshirts')",0.25,1.0
"('Hoodies', 'Socks', 'Tech Pants')","('Modern Pants', 'Rash Guard', 'Sweatshirts')",0.25,1.0
"('Hoodies', 'Sweatshirts')","('Modern Pants',)",0.25,1.0
"('Hoodies', 'Sweatshirts')","('Rash Guard',)",0.25,1.0
"('Hoodies', 'Sweatshirts')","('Socks',)",0.25,1.0
"('Hoodies', 'Sweatshirts')","('Tech Pants',)",0.25,1.0
"('Hoodies', 'Sweatshirts')","('Modern Pants', 'Rash Guard')",0.25,1.0
"('Hoodies', 'Sweatshirts')","('Modern Pants', 'Socks')",0.25,1.0
"('Hoodies', 'Sweatshirts')","('Modern Pants', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Sweatshirts')","('Rash Guard', 'Socks')",0.25,1.0
"('Hoodies', 'Sweatshirts')","('Rash Guard', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Sweatshirts')","('Socks', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Sweatshirts')","('Modern Pants', 'Rash Guard', 'Socks')",0.25,1.0
"('Hoodies', 'Sweatshirts')","('Modern Pants', 'Rash Guard', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Sweatshirts')","('Modern Pants', 'Socks', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Sweatshirts')","('Rash Guard', 'Socks', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Sweatshirts')","('Modern Pants', 'Rash Guard', 'Socks', 'Tech Pants')",0.25,1.0
"('Hoodies', 'Sweatshirts', 'Tech Pants')","('Modern Pants',)",0.25,1.0
"('Hoodies', 'Sweatshirts', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Hoodies', 'Sweatshirts', 'Tech Pants')","('Socks',)",0.25,1.0
"('Hoodies', 'Sweatshirts', 'Tech Pants')","('Modern Pants', 'Rash Guard')",0.25,1.0
"('Hoodies', 'Sweatshirts', 'Tech Pants')","('Modern Pants', 'Socks')",0.25,1.0
"('Hoodies', 'Sweatshirts', 'Tech Pants')","('Rash Guard', 'Socks')",0.25,1.0
"('Hoodies', 'Sweatshirts', 'Tech Pants')","('Modern Pants', 'Rash Guard', 'Socks')",0.25,1.0
"('Modern Pants', 'Rash Guard', 'Running Shoe')","('Socks',)",0.25,1.0
"('Modern Pants', 'Rash Guard', 'Running Shoe')","('Sweatshirts',)",0.25,1.0
"('Modern Pants', 'Rash Guard', 'Running Shoe')","('Tech Pants',)",0.25,1.0
"('Modern Pants', 'Rash Guard', 'Running Shoe')","('Socks', 'Sweatshirts')",0.25,1.0
"('Modern Pants', 'Rash Guard', 'Running Shoe')","('Socks', 'Tech Pants')",0.25,1.0
"('Modern Pants', 'Rash Guard', 'Running Shoe')","('Sweatshirts', 'Tech Pants')",0.25,1.0
"('Modern Pants', 'Rash Guard', 'Running Shoe')","('Socks', 'Sweatshirts', 'Tech Pants')",0.25,1.0
"('Modern Pants', 'Rash Guard', 'Running Shoe', 'Socks')","('Sweatshirts',)",0.25,1.0
"('Modern Pants', 'Rash Guard', 'Running Shoe', 'Socks')","('Tech Pants',)",0.25,1.0
"('Modern Pants', 'Rash Guard', 'Running Shoe', 'Socks')","('Sweatshirts', 'Tech Pants')",0.25,1.0
"('Modern Pants', 'Rash Guard', 'Running Shoe', 'Socks', 'Sweatshirts')","('Tech Pants',)",0.25,1.0
"('Modern Pants', 'Rash Guard', 'Running Shoe', 'Socks', 'Tech Pants')","('Sweatshirts',)",0.25,1.0
"('Modern Pants', 'Rash Guard', 'Running Shoe', 'Sweatshirts')","('Socks',)",0.25,1.0
"('Modern Pants', 'Rash Guard', 'Running Shoe', 'Sweatshirts')","('Tech Pants',)",0.25,1.0
"('Modern Pants', 'Rash Guard', 'Running Shoe', 'Sweatshirts')","('Socks', 'Tech Pants')",0.25,1.0
"('Modern Pants', 'Rash Guard', 'Running Shoe', 'Sweatshirts', 'Tech Pants')","('Socks',)",0.25,1.0
"('Modern Pants', 'Rash Guard', 'Running Shoe', 'Tech Pants')","('Socks',)",0.25,1.0
"('Modern Pants', 'Rash Guard', 'Running Shoe', 'Tech Pants')","('Sweatshirts',)",0.25,1.0
"('Modern Pants', 'Rash Guard', 'Running Shoe', 'Tech Pants')","('Socks', 'Sweatshirts')",0.25,1.0
"('Modern Pants', 'Running Shoe', 'Socks', 'Sweatshirts', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Modern Pants', 'Running Shoe', 'Socks', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Modern Pants', 'Running Shoe', 'Socks', 'Tech Pants')","('Sweatshirts',)",0.25,1.0
"('Modern Pants', 'Running Shoe', 'Socks', 'Tech Pants')","('Rash Guard', 'Sweatshirts')",0.25,1.0
"('Modern Pants', 'Running Shoe', 'Sweatshirts', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Modern Pants', 'Running Shoe', 'Sweatshirts', 'Tech Pants')","('Socks',)",0.25,1.0
"('Modern Pants', 'Running Shoe', 'Sweatshirts', 'Tech Pants')","('Rash Guard', 'Socks')",0.25,1.0
"('Modern Pants', 'Running Shoe', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Modern Pants', 'Running Shoe', 'Tech Pants')","('Socks',)",0.25,1.0
"('Modern Pants', 'Running Shoe', 'Tech Pants')","('Sweatshirts',)",0.25,1.0
"('Modern Pants', 'Running Shoe', 'Tech Pants')","('Rash Guard', 'Socks')",0.25,1.0
"('Modern Pants', 'Running Shoe', 'Tech Pants')","('Rash Guard', 'Sweatshirts')",0.25,1.0
"('Modern Pants', 'Running Shoe', 'Tech Pants')","('Socks', 'Sweatshirts')",0.25,1.0
"('Modern Pants', 'Running Shoe', 'Tech Pants')","('Rash Guard', 'Socks', 'Sweatshirts')",0.25,1.0
"('Modern Pants', 'Soccer Shoe')","('Socks',)",0.25,1.0
"('Modern Pants', 'Soccer Shoe')","('Sweatshirts',)",0.25,1.0
"('Modern Pants', 'Soccer Shoe')","('Socks', 'Sweatshirts')",0.25,1.0
"('Modern Pants', 'Soccer Shoe', 'Socks')","('Sweatshirts',)",0.25,1.0
"('Modern Pants', 'Soccer Shoe', 'Sweatshirts')","('Socks',)",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Socks')","('Modern Pants',)",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Socks')","('Sweatshirts',)",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Socks')","('Tech Pants',)",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Socks')","('Modern Pants', 'Sweatshirts')",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Socks')","('Modern Pants', 'Tech Pants')",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Socks')","('Sweatshirts', 'Tech Pants')",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Socks')","('Modern Pants', 'Sweatshirts', 'Tech Pants')",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Socks', 'Sweatshirts')","('Modern Pants',)",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Socks', 'Sweatshirts')","('Tech Pants',)",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Socks', 'Sweatshirts')","('Modern Pants', 'Tech Pants')",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Socks', 'Sweatshirts', 'Tech Pants')","('Modern Pants',)",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Socks', 'Tech Pants')","('Modern Pants',)",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Socks', 'Tech Pants')","('Sweatshirts',)",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Socks', 'Tech Pants')","('Modern Pants', 'Sweatshirts')",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Sweatshirts')","('Modern Pants',)",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Sweatshirts')","('Socks',)",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Sweatshirts')","('Tech Pants',)",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Sweatshirts')","('Modern Pants', 'Socks')",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Sweatshirts')","('Modern Pants', 'Tech Pants')",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Sweatshirts')","('Socks', 'Tech Pants')",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Sweatshirts')","('Modern Pants', 'Socks', 'Tech Pants')",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Sweatshirts', 'Tech Pants')","('Modern Pants',)",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Sweatshirts', 'Tech Pants')","('Socks',)",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Sweatshirts', 'Tech Pants')","('Modern Pants', 'Socks')",0.25,1.0
"('Rash Guard', 'Running Shoe', 'Swimming Shirt', 'Tech Pants')","('Dry Fit V-Nick',)",0.25,1.0
"('Rash Guard', 'Soccer Shoe')","('Dry Fit V-Nick',)",0.25,1.0
"('Rash Guard', 'Soccer Shoe')","('Hoodies',)",0.25,1.0
"('Rash Guard', 'Soccer Shoe')","('Tech Pants',)",0.25,1.0
"('Rash Guard', 'Soccer Shoe')","('Dry Fit V-Nick', 'Hoodies')",0.25,1.0
"('Rash Guard', 'Soccer Shoe')","('Dry Fit V-Nick', 'Tech Pants')",0.25,1.0
"('Rash Guard', 'Soccer Shoe')","('Hoodies', 'Tech Pants')",0.25,1.0
"('Rash Guard', 'Soccer Shoe')","('Dry Fit V-Nick', 'Hoodies', 'Tech Pants')",0.25,1.0
"('Rash Guard', 'Soccer Shoe', 'Tech Pants')","('Dry Fit V-Nick',)",0.25,1.0
"('Rash Guard', 'Soccer Shoe', 'Tech Pants')","('Hoodies',)",0.25,1.0
"('Rash Guard', 'Soccer Shoe', 'Tech Pants')","('Dry Fit V-Nick', 'Hoodies')",0.25,1.0
"('Running Shoe', 'Socks', 'Sweatshirts', 'Tech Pants')","('Modern Pants',)",0.25,1.0
"('Running Shoe', 'Socks', 'Sweatshirts', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Running Shoe', 'Socks', 'Sweatshirts', 'Tech Pants')","('Modern Pants', 'Rash Guard')",0.25,1.0
"('Running Shoe', 'Socks', 'Tech Pants')","('Modern Pants',)",0.25,1.0
"('Running Shoe', 'Socks', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Running Shoe', 'Socks', 'Tech Pants')","('Sweatshirts',)",0.25,1.0
"('Running Shoe', 'Socks', 'Tech Pants')","('Modern Pants', 'Rash Guard')",0.25,1.0
"('Running Shoe', 'Socks', 'Tech Pants')","('Modern Pants', 'Sweatshirts')",0.25,1.0
"('Running Shoe', 'Socks', 'Tech Pants')","('Rash Guard', 'Sweatshirts')",0.25,1.0
"('Running Shoe', 'Socks', 'Tech Pants')","('Modern Pants', 'Rash Guard', 'Sweatshirts')",0.25,1.0
"('Running Shoe', 'Sweatshirts', 'Tech Pants')","('Modern Pants',)",0.25,1.0
"('Running Shoe', 'Sweatshirts', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Running Shoe', 'Sweatshirts', 'Tech Pants')","('Socks',)",0.25,1.0
"('Running Shoe', 'Sweatshirts', 'Tech Pants')","('Modern Pants', 'Rash Guard')",0.25,1.0
"('Running Shoe', 'Sweatshirts', 'Tech Pants')","('Modern Pants', 'Socks')",0.25,1.0
"('Running Shoe', 'Sweatshirts', 'Tech Pants')","('Rash Guard', 'Socks')",0.25,1.0
"('Running Shoe', 'Sweatshirts', 'Tech Pants')","('Modern Pants', 'Rash Guard', 'Socks')",0.25,1.0
